status	gender	major	dorm	year
2	1	280	0	2005
1	1	241	100	2009
1	2	243	94	2009
1	1	246	0	2007
1	1	235	97	0
1	1	280	0	2008
1	1	246	92	2009
1	1	273	94	0
2	1	291	0	2005
2	2	252	0	2005
1	1	246	94	2009
1	1	275	140	2007
1	2	267	0	2008
1	2	252	0	2006
1	2	246	94	2009
1	2	264	142	2006
2	2	236	0	2005
1	1	283	140	2008
1	0	0	0	0
1	1	246	132	2008
1	1	291	0	2006
1	0	0	0	0
1	1	252	0	2006
1	1	288	0	2006
1	0	0	0	0
1	2	261	95	0
2	2	279	0	2005
1	0	290	137	2005
1	2	245	0	2005
1	1	273	0	2006
1	1	240	149	2010
1	1	268	105	0
1	2	240	142	2006
1	1	256	87	2009
1	1	283	0	2006
1	1	246	95	2009
1	1	239	0	2007
1	1	290	0	2005
1	0	279	0	2010
1	2	258	0	2008
2	2	269	0	2005
1	1	272	98	2009
1	2	236	0	2007
1	2	235	0	2008
2	1	0	0	0
1	2	251	90	2008
1	2	236	0	0
1	2	261	86	2008
1	1	273	138	2005
1	2	265	94	2009
1	2	246	121	2008
1	2	291	0	2008
2	2	279	0	2005
1	2	297	0	0
1	2	239	122	2010
1	2	252	140	2006
1	2	259	131	2005
1	1	283	100	0
1	1	246	98	2009
1	1	236	116	2004
1	0	250	0	0
1	1	248	142	0
1	1	246	0	2005
1	1	241	102	2010
2	2	236	0	2005
1	2	246	130	2005
1	2	270	145	2008
1	2	251	141	2007
1	2	279	0	2006
1	1	273	0	2007
1	1	289	0	0
2	0	299	0	2005
1	2	251	0	0
1	2	258	0	2006
1	1	244	89	2009
1	1	242	87	2009
1	1	259	0	2006
1	1	288	92	2009
1	2	251	142	2009
1	2	284	142	0
1	1	272	0	2006
1	2	269	102	0
1	1	246	0	0
1	1	244	89	2009
2	1	294	0	2005
1	1	299	102	2009
2	2	243	0	2004
1	2	246	0	2008
2	2	282	0	0
1	0	0	0	0
1	1	246	0	0
1	2	272	146	2008
1	2	279	0	0
1	1	273	133	0
1	0	0	0	0
1	2	253	0	2006
1	1	246	0	0
1	2	279	0	0
1	2	277	93	0
1	1	236	0	2007
1	2	265	151	2004
1	1	244	0	2007
1	2	298	140	2009
1	1	246	92	2008
1	2	241	0	2007
1	2	235	0	0
1	2	253	0	2006
1	2	297	87	2010
1	2	0	98	0
2	2	246	0	0
1	2	246	140	2008
1	2	235	129	2007
1	2	251	94	2004
3	2	288	0	0
1	2	251	120	2007
1	2	292	140	2009
1	2	252	0	2008
1	2	293	0	2007
1	1	246	0	2006
1	1	236	134	2005
1	1	236	94	2009
1	1	246	87	0
1	1	256	114	2006
1	1	246	134	2007
1	2	242	118	2008
1	1	246	0	2007
2	0	246	147	0
2	0	0	0	0
2	1	289	0	2005
1	2	291	96	2009
1	1	246	0	0
1	2	251	92	2009
1	2	246	94	2009
1	1	275	0	2006
1	1	236	144	2007
1	1	246	0	0
1	2	280	0	2007
1	1	243	102	2009
1	1	274	133	2007
1	2	259	0	2007
5	2	251	0	2004
1	1	288	96	0
1	2	250	94	2009
1	0	0	0	0
1	1	246	0	2005
1	1	246	0	2006
2	2	246	0	2005
1	1	268	0	2007
1	2	239	117	2007
1	1	248	96	2009
2	1	285	0	2004
1	1	246	0	2007
1	2	236	0	2010
1	1	242	0	0
2	2	297	0	2005
1	1	269	0	0
5	2	298	0	0
1	1	259	140	2008
1	0	246	0	0
1	1	273	0	2005
1	2	239	142	2006
1	2	282	0	0
1	1	246	0	2006
1	2	252	0	2006
1	2	246	0	2006
1	1	273	132	2007
1	2	238	0	2006
1	2	279	0	2006
1	2	278	0	0
1	2	251	0	2010
2	1	236	0	2005
2	1	246	147	2005
2	2	262	0	2005
1	1	260	140	0
1	2	269	0	2006
1	2	252	140	2007
1	2	251	0	2009
1	2	251	0	2007
1	1	283	0	2006
1	1	236	0	0
1	2	258	0	2005
1	2	266	0	0
1	2	251	0	2005
1	1	290	87	2005
1	1	246	0	0
1	2	279	0	2006
5	1	236	0	2005
1	1	269	134	2007
1	2	244	0	0
1	2	246	0	0
1	2	246	140	0
1	1	242	98	2009
1	1	291	0	2006
2	2	246	0	2005
1	2	257	0	2005
1	1	246	136	2007
1	1	274	94	0
1	1	249	0	0
1	2	277	140	2008
1	2	246	101	2007
1	1	0	94	0
1	1	236	87	2008
1	2	237	0	2006
2	1	243	0	2005
1	1	273	89	2009
1	2	271	0	0
1	1	269	0	2007
1	2	240	144	2005
1	1	246	0	0
1	1	296	94	0
1	1	268	0	2008
1	2	267	0	0
1	2	236	120	2007
1	2	245	98	2008
1	1	246	0	2007
1	1	274	0	2005
1	2	236	0	2005
1	2	246	100	2009
1	2	271	0	2005
1	2	259	102	2008
1	2	235	0	2009
1	2	279	140	2007
1	0	0	0	0
1	1	236	134	2006
1	2	252	140	2008
1	0	236	0	0
1	2	259	140	2007
1	0	0	0	0
1	1	243	142	2007
1	2	236	100	2008
1	2	259	109	2004
1	2	259	0	2006
1	1	0	91	2009
1	2	235	140	2009
3	0	297	0	0
1	1	246	0	2008
1	2	253	128	2005
1	0	0	0	0
1	2	251	145	2007
1	1	246	0	2006
1	2	265	0	0
1	1	252	0	2007
1	2	252	86	2008
1	2	298	0	2007
1	1	275	96	2008
1	1	236	87	2009
2	1	273	0	2004
1	1	283	142	2008
1	1	299	0	2007
1	2	259	130	2008
1	2	267	0	2008
1	1	246	0	2006
1	2	236	0	2006
1	2	251	0	0
2	1	280	0	2005
1	1	237	91	2009
1	2	294	0	2005
1	1	283	0	0
1	2	250	94	0
1	0	0	0	0
1	1	246	0	0
1	2	244	0	2007
2	1	274	0	2005
1	1	288	136	2007
1	1	244	102	2009
1	1	244	89	2009
1	0	263	94	0
1	2	246	123	2007
1	2	251	128	2007
1	2	252	151	0
1	1	278	87	0
1	1	246	95	2009
1	2	259	0	2007
1	2	246	0	2005
1	2	279	151	2006
2	1	248	136	2005
1	2	240	0	0
1	2	239	0	0
2	2	252	126	0
5	2	252	0	2006
1	2	235	94	2009
1	1	244	0	2006
1	2	250	0	2005
1	1	260	86	2007
1	1	236	98	2009
1	1	241	140	2009
1	2	235	102	2004
1	2	244	0	0
1	1	283	0	2006
1	2	247	0	2009
2	2	251	0	2004
1	1	236	135	2006
1	2	259	92	0
1	2	265	0	2005
1	1	246	0	0
2	1	236	0	2005
1	1	273	0	2006
1	1	279	0	2007
1	1	239	0	2008
1	1	268	142	2007
1	1	283	0	2005
2	2	279	0	0
1	1	241	0	0
1	1	290	134	0
1	1	247	140	2007
1	1	246	0	2006
1	1	239	0	0
1	1	241	94	0
5	2	298	0	2004
1	2	241	0	0
